task_identifier,task_app_order
General_Tool_0_CHN,"['饿了么', '设置']"
General_Tool_0_ENG,"['Google Play Store', 'Settings']"
General_Tool_1_CHN,"['设置', '抖音']"
General_Tool_1_ENG,"['LinkedIn', 'Keep Notes']"
General_Tool_2_CHN,"['设置', '微信']"
General_Tool_2_ENG,"['Settings', 'Clock']"
Information_Management_0_CHN,"['华为浏览器', 'Bilibili']"
Information_Management_0_ENG,"['Facebook', 'Settings']"
Information_Management_1_CHN,"['华为浏览器', 'QQ音乐']"
Information_Management_1_ENG,"['Chrome', 'Calendar']"
Information_Management_2_CHN,"['小红书', '设置']"
Information_Management_2_ENG,"['Chrome', 'Spotify']"
Media_Entertainment_0_CHN,"['华为浏览器', 'QQ音乐']"
Media_Entertainment_0_ENG,"['YouTube', 'Google Play Store']"
Media_Entertainment_1_CHN,"['抖音', '微博']"
Media_Entertainment_1_ENG,"['Chrome', 'Google Play Store']"
Media_Entertainment_2_CHN,"['QQ音乐', 'Bilibili']"
Media_Entertainment_2_ENG,"['YouTube', 'Clock', 'YouTube']"
Multi_Apps_0_CHN,"['华为浏览器', 'Bilibili', 'QQ']"
Multi_Apps_0_ENG,"['Chrome', 'Quora', 'eBay']"
Multi_Apps_1_CHN,"['淘宝', '京东', '腾讯文档']"
Multi_Apps_1_ENG,"['Chrome', 'Instagram', 'Clock']"
Multi_Apps_2_CHN,"['美团', '高德地图', '微信']"
Multi_Apps_2_ENG,"['Google Play Store', 'Triller', 'Settings', 'Triller']"
Multi_Apps_3_CHN,"['去哪儿', '航旅纵横', '微信']"
Multi_Apps_3_ENG,"['Zoom', 'WhatsApp', 'Clock']"
Multi_Apps_4_CHN,"['华为浏览器', '淘宝', '图库']"
Multi_Apps_4_ENG,"['Expedia', 'Evernote', 'AccuWeather']"
Social_Sharing_0_CHN,"['Bilibili', 'QQ']"
Social_Sharing_0_ENG,"['X', 'Facebook']"
Social_Sharing_1_CHN,"['QQ音乐', '小红书']"
Social_Sharing_1_ENG,"['BBC News', 'Gmail']"
Social_Sharing_2_CHN,"['知乎', '微博']"
Social_Sharing_2_ENG,"['Spotify', 'Facebook']"
Web_Shopping_0_CHN,"['知乎', '京东']"
Web_Shopping_0_ENG,"['Facebook', 'eBay']"
Web_Shopping_1_CHN,"['小红书', '淘宝']"
Web_Shopping_1_ENG,"['Amazon', 'Temu', 'Amazon/Temu']"
Web_Shopping_2_CHN,"['华为浏览器', '淘宝']"
Web_Shopping_2_ENG,"['Instagram', 'Airbnb']"
