task_identifier,task_app,task_app_CHN,task_language,task_description,task_difficulty,golden_steps,key_component_final,adb_app,adb_home_page,is_cross_app
alipay_0,alipay,支付宝,CHN,搜索汇率换算。,1,3,['汇率换算'],com.eg.android.AlipayGphone,com.eg.android.AlipayGphone.AlipayLogin,N
alipay_1,alipay,支付宝,CHN,进入汇率换算小程序，查看港币兑欧元汇率。,2,9,"['港币','欧元']",com.eg.android.AlipayGphone,com.eg.android.AlipayGphone.AlipayLogin,N
alipay_2,alipay,支付宝,CHN,进入汇率换算小程序，查看港币兑欧元汇率。计算100港币 可以兑换多少欧元。,3,13,"['港币','欧元','100']",com.eg.android.AlipayGphone,com.eg.android.AlipayGphone.AlipayLogin,N
bilibili_0,bilibili,哔哩哔哩,CHN,搜索关键词“游戏解说”,1,3,"['游戏解说', '搜索']",tv.danmaku.bili,tv.danmaku.bili.MainActivityV2,N
bilibili_1,bilibili,哔哩哔哩,CHN,搜索关键词“游戏解说”，对搜索结果按播放量排序，选择一个视频。,2,7,"['简介', '评论']",tv.danmaku.bili,tv.danmaku.bili.MainActivityV2,N
bilibili_2,bilibili,哔哩哔哩,CHN,搜索关键词“游戏解说”，对搜索结果按播放量排序，选择一个视频，并对它点赞、收藏，编辑评论“哈哈”。,3,12,"['哈哈', '发布']",tv.danmaku.bili,tv.danmaku.bili.MainActivityV2,N
bilibili_3,bilibili,哔哩哔哩,CHN,查看公开课分区，展示学科课程栏目的内容。,1,3,"['公开课', '学科课程']",tv.danmaku.bili,tv.danmaku.bili.MainActivityV2,N
bilibili_4,bilibili,哔哩哔哩,CHN,查看公开课分区，展示学科课程栏目的内容，查看交叉学科相关的视频，并按照收藏数排序。,2,6,"['公开课', '学科课程', '收藏最多']",tv.danmaku.bili,tv.danmaku.bili.MainActivityV2,N
bilibili_5,bilibili,哔哩哔哩,CHN,查看公开课分区，展示学科课程栏目的内容，查看交叉学科相关的视频，并按照收藏数排序，在收藏量最高的视频下面发送评论“好好好”。（停留在评论发送页面）,3,10,"['好好好', '发布']",tv.danmaku.bili,tv.danmaku.bili.MainActivityV2,N
bilibili_6,bilibili,哔哩哔哩,CHN,浏览个人消息通知。,1,1,"['消息', '聊天列表']",tv.danmaku.bili,tv.danmaku.bili.MainActivityV2,N
bilibili_7,bilibili,哔哩哔哩,CHN,浏览个人消息通知，挑选一个聊天，查看好友动态。,2,5,['动态'],tv.danmaku.bili,tv.danmaku.bili.MainActivityV2,N
bilibili_8,bilibili,哔哩哔哩,CHN,浏览个人消息通知，挑选一个聊天，查看好友动态，点赞好友的一条动态，编辑评论“哈哈”。,3,9,"['评论', '哈哈']",tv.danmaku.bili,tv.danmaku.bili.MainActivityV2,N
cainiaoguoguo_0,cainiaoguoguo,菜鸟裹裹,CHN,在我的页面中查看“收货地址”,1,2,['地址'],com.cainiao.cnintl4android,com.cainiao.wireless.homepage.view.activity.launch.WelcomeActivity,N
cainiaoguoguo_1,cainiaoguoguo,菜鸟裹裹,CHN,在我的页面中选择收货地址，选择添加收货地址，姓名输入张三，手机号输入123456789,2,7,"['收货地址', '收件人', '张三']",com.cainiao.cnintl4android,com.cainiao.wireless.homepage.view.activity.launch.WelcomeActivity,N
cainiaoguoguo_2,cainiaoguoguo,菜鸟裹裹,CHN,在我的页面中选择收货地址，选择添加收货地址，姓名输入张三，手机号输入123456789，详细地址输入无，地区选择九龙的九龙城区，然后保存这个收货地址。,3,13,"['我的地址', '张三', '九龙城区']",com.cainiao.cnintl4android,com.cainiao.wireless.homepage.view.activity.launch.WelcomeActivity,N
calendar_0,calendar,万年历,CHN,查看今天的黄历，然后查看今天的运程。,1,2,"['黄历', '运程']",com.youloft.calendar,com.youloft.LauncherActivity,N
calendar_1,calendar,万年历,CHN,查看今天的黄历，然后查看今天的运程。然后在“工具”页面中打开“择吉日”，然后查看“出行”的吉日。,2,5,['宜出行'],com.youloft.calendar,com.youloft.LauncherActivity,N
calendar_2,calendar,万年历,CHN,查看今天的黄历，然后查看今天的运程。然后在“工具”页面中打开“择吉日”，然后查看“出行”的吉日，然后将开始日期调整为下个月，并且设置“只看周末”。,3,9,"['宜出行', '星期日', '星期六']",com.youloft.calendar,com.youloft.LauncherActivity,N
deskclock_0,deskclock,时钟,CHN,新建闹钟，设置在每个星期一重复，然后停止操作,1,4,"['重复', '一']",com.android.deskclock,com.android.deskclock.DeskClockTabActivity,N
deskclock_1,deskclock,时钟,CHN,新建闹钟，设置在每个星期一重复，修改标签（备注）或闹钟名为“一个闹钟”，然后停止操作,2,7,"['闹钟', '一个闹钟']",com.android.deskclock,com.android.deskclock.DeskClockTabActivity,N
deskclock_2,deskclock,时钟,CHN,新建闹钟，设置在每个星期一重复，修改标签（备注）或闹钟名为“一个闹钟”，更换一个铃声音乐，保存闹钟,3,11,"['闹钟', '响铃']",com.android.deskclock,com.android.deskclock.DeskClockTabActivity,N
dianxin_0,dianxin,电信,CHN,进入查询办理，查看自己的积分，费用与用量（不分先后）,1,3,"['查用量', '查费用', '查积分']",com.ct.client,com.ct.client.activity.SplashActivity,N
