task_identifier,category,task_language,task_app,task_description,task_difficulty,golden_steps,is_cross_app
General_Tool_0_ENG,General_Tool,ENG,"['Google Play Store', 'Setting']","Open Google Play Store, uninstall the Alibaba.com app, then go to Settings and verify if the app is still listed under app resources.",1,15,Y
General_Tool_1_ENG,General_Tool,ENG,"['Keep Notes', 'LinkedIn']","Use the LinkedIn app to search for a customer service representative position. Select a job, open Keep Notes, create a new note, record the company's name, and set the note's title to 'customer service representative'.",1,12,Y
General_Tool_2_ENG,General_Tool,ENG,"['Clock', 'Setting']","In the Settings app, enable 'Data Saver' mode. Open the Clock app and set an alarm for 6:00 AM.",1,12,Y
Information_Management_0_ENG,Information_Management,ENG,"['Facebook', 'Setting']","Open Facebook, search for tropical pictures, save one picture to your phone, go to the Wallpaper section in the Settings app, and set the saved picture as your wallpaper.",1,17,Y
Information_Management_1_ENG,Information_Management,ENG,"['Calendar', 'Chrome']","Using Chrome, search for the date of the next Winter Olympics opening ceremony and then set a reminder for that date in your Calendar.",1,16,Y
Information_Management_2_ENG,Information_Management,ENG,"['Spotify', 'Chrome']","Open Chrome, search for the top Country songs of 2023, identify a song from the search results, then switch to Spotify and add that song to your playlist.",1,13,Y
Media_Entertainment_0_ENG,Media_Entertainment,ENG,"['Google Play Store', 'Youtube']","Watch a YouTube video about fitness tracking app recommendations, check the video's description for the suggested apps, then use Google Play Store to download one of the suggested apps.",1,12,Y
Media_Entertainment_1_ENG,Media_Entertainment,ENG,"['Google Play Store', 'Chrome']","Utilize Chrome to research different Recipe Organizer apps, and then proceed to Google Play Store, download one of your choice.",1,10,Y
Media_Entertainment_2_ENG,Media_Entertainment,ENG,"['Clock', 'Youtube']","Search for a relaxing soundscape video on YouTube, use the Clock app to set a timer for 3 hours, then go back to YouTube and play the video.",1,11,Y
Multi_Apps_0_ENG,Multi_Apps,ENG,"['Quora', 'eBay', 'Chrome']","Utilize Chrome to search for a biography book, then use Quora to read reviews about the book, and finally add the book to watchlist on eBay.",2,20,Y
Multi_Apps_1_ENG,Multi_Apps,ENG,"['Clock', 'Chrome', 'Instagram']","Organize a movie night by choosing a horror film using Chrome, sending an invitation to one of your friends via Instagram, and setting a reminder in the Clock app for 8:35 PM on Sunday.",2,20,Y
Multi_Apps_2_ENG,Multi_Apps,ENG,"['Triller', 'Setting', 'Google Play Store']","First, install the Triller app from the Google Play Store. After the installation, open the Triller app, navigate to the Setting app to check current battery status, reopen the Triller app.",2,15,Y
Multi_Apps_3_ENG,Multi_Apps,ENG,"['Clock', 'WhatsApp', 'Zoom']","Arrange a business meeting using Zoom, copy the sharing text, go to WhatsApp, send the copied text to a contact, set an alarm using the Clock app at the meeting time.",2,23,Y
Multi_Apps_4_ENG,Multi_Apps,ENG,"['AccuWeather', 'Evernote', 'Expedia']","Utilize Expedia to search for Things to do in Beijing on 18-20th, choose one and record the sharing text using Evernote, open AccuWeather to check daily weather in Beijing.",2,25,Y
Social_Sharing_0_ENG,Social_Sharing,ENG,"['X', 'Facebook']","Use the social media platform X to post a photo, copy the link to your post, then open Facebook and send the link to a friend",1,20,Y
Social_Sharing_1_ENG,Social_Sharing,ENG,"['BBC News', 'Gmail']","Use the BBC News app to search for Artificial Intelligence news, read an article, share it via Gmail, send to agent.benchmark.2024@gmail.com.",1,10,Y
Social_Sharing_2_ENG,Social_Sharing,ENG,"['Spotify', 'Facebook']","Listen to a Reggaeton album on Spotify, then share the album's name with a friend on Facebook.",1,19,Y
Web_Shopping_0_ENG,Web_Shopping,ENG,"['eBay', 'Facebook']","Search for 'Circe by Madeline Miller' on Facebook, read one of the posts, head over to eBay, search the book, add it to watchlist.",1,15,Y
Web_Shopping_1_ENG,Web_Shopping,ENG,"['Amazon', 'Temu']","Investigate the prices for Catan board game across Amazon and Temu, then proceed to add the cheaper option into your cart.",1,15,Y
Web_Shopping_2_ENG,Web_Shopping,ENG,"['Airbnb', 'Instagram']","Use Instagram to search for an itinerary for Venice, Italy, and then proceed Airbnb, book accommodations at Venice, Italy.",1,19,Y
